"","DATE","Year","Month","Day","Temp_gaps","Tmin","Tmean","Tmax"
"1",2008-03-03 12:00:00,2008,3,3,15.0159285714286,7.92,15.0159285714286,19.508
"2",2008-03-04 12:00:00,2008,3,4,NA,3.775,12.8120416666667,21.867
"3",2008-03-05 12:00:00,2008,3,5,NA,6.611,13.7560416666667,20.793
"4",2008-03-06 12:00:00,2008,3,6,NA,3.063,10.518625,17.819
"5",2008-03-07 12:00:00,2008,3,7,NA,3.248,12.430375,21.103
"6",2008-03-08 12:00:00,2008,3,8,NA,6.788,14.6324166666667,22.609
"7",2008-03-09 12:00:00,2008,3,9,NA,6.026,14.5924166666667,23.472
"8",2008-03-10 12:00:00,2008,3,10,NA,5.796,14.5447083333333,23.424
"9",2008-03-11 12:00:00,2008,3,11,NA,6.788,14.591,21.413
"10",2008-03-12 12:00:00,2008,3,12,NA,6.737,15.1414166666667,22.369
"11",2008-03-13 12:00:00,2008,3,13,NA,10.736,15.009875,20.936
"12",2008-03-14 12:00:00,2008,3,14,NA,6.965,10.9058333333333,16.963
"13",2008-03-15 12:00:00,2008,3,15,NA,5.514,9.93458333333333,15.247
"14",2008-03-16 12:00:00,2008,3,16,NA,8.693,12.4688333333333,17.439
"15",2008-03-17 12:00:00,2008,3,17,NA,9.952,15.7262916666667,23.713
"16",2008-03-18 12:00:00,2008,3,18,NA,6.077,15.34,24.702
"17",2008-03-19 12:00:00,2008,3,19,NA,6.408,14.0401666666667,23.328
"18",2008-03-20 12:00:00,2008,3,20,NA,6.763,13.5354166666667,20.222
"19",2008-03-21 12:00:00,2008,3,21,NA,6.179,12.7794166666667,20.77
"20",2008-03-22 12:00:00,2008,3,22,NA,5.872,15.7055833333333,25.914
"21",2008-03-23 12:00:00,2008,3,23,NA,3.775,14.2486666666667,25.355
"22",2008-03-24 12:00:00,2008,3,24,NA,6.889,16.419875,26.426
"23",2008-03-25 12:00:00,2008,3,25,NA,8.866,16.8278333333333,23.737
"24",2008-03-26 12:00:00,2008,3,26,NA,7.97,13.0015833333333,19.841
"25",2008-03-27 12:00:00,2008,3,27,NA,5.308,10.980125,18.271
"26",2008-03-28 12:00:00,2008,3,28,NA,6.357,12.4832916666667,21.199
"27",2008-03-29 12:00:00,2008,3,29,NA,9.139,12.7995,16.582
"28",2008-03-30 12:00:00,2008,3,30,NA,5.308,11.2274166666667,19.318
"29",2008-03-31 12:00:00,2008,3,31,NA,7.116,12.6925833333333,19.175
"30",2008-04-01 12:00:00,2008,4,1,NA,8.419,14.636,22.202
"31",2008-04-02 12:00:00,2008,4,2,NA,4.402,13.450125,23.04
"32",2008-04-03 12:00:00,2008,4,3,NA,4.869,14.8679583333333,25.404
"33",2008-04-04 12:00:00,2008,4,4,NA,6.255,13.6926666666667,22.489
"34",2008-04-05 12:00:00,2008,4,5,NA,3.88,12.8962916666667,22.321
"35",2008-04-06 12:00:00,2008,4,6,NA,8.841,14.505125,20.126
"36",2008-04-07 12:00:00,2008,4,7,NA,3.775,12.4734583333333,20.936
"37",2008-04-08 12:00:00,2008,4,8,NA,8.668,13.5822083333333,18.961
"38",2008-04-09 12:00:00,2008,4,9,NA,3.274,12.8171666666667,21.867
"39",2008-04-10 12:00:00,2008,4,10,NA,6.712,16.1662916666667,25.987
"40",2008-04-11 12:00:00,2008,4,11,NA,14.84,21.9162916666667,30.041
"41",2008-04-12 12:00:00,2008,4,12,NA,8.668,19.941,30.748
"42",2008-04-13 12:00:00,2008,4,13,NA,10.541,20.0498333333333,30.495
"43",2008-04-14 12:00:00,2008,4,14,NA,9.064,14.862125,21.772
"44",2008-04-15 12:00:00,2008,4,15,NA,5.102,12.4534583333333,19.532
"45",2008-04-16 12:00:00,2008,4,16,NA,8.319,16.0696666666667,24.026
"46",2008-04-17 12:00:00,2008,4,17,NA,6.102,17.290875,27.998
"47",2008-04-18 12:00:00,2008,4,18,NA,7.544,16.52625,26.671
"48",2008-04-19 12:00:00,2008,4,19,NA,7.393,13.3077083333333,21.987
"49",2008-04-20 12:00:00,2008,4,20,NA,1.967,10.3720833333333,17.32
"50",2008-04-21 12:00:00,2008,4,21,NA,1.967,11.4622916666667,18.794
"51",2008-04-22 12:00:00,2008,4,22,NA,7.544,13.3785,19.746
"52",2008-04-23 12:00:00,2008,4,23,NA,4.921,12.048125,17.558
"53",2008-04-24 12:00:00,2008,4,24,NA,3.38,12.53825,21.795
"54",2008-04-25 12:00:00,2008,4,25,NA,6.382,16.4945,26.622
"55",2008-04-26 12:00:00,2008,4,26,NA,11.224,20.5964166666667,30.545
"56",2008-04-27 12:00:00,2008,4,27,NA,12.847,22.1434166666667,32.227
"57",2008-04-28 12:00:00,2008,4,28,NA,10.32,20.421625,30.217
"58",2008-04-29 12:00:00,2008,4,29,NA,11.029,15.6420833333333,22.226
"59",2008-04-30 12:00:00,2008,4,30,NA,4.895,13.3056666666667,20.365
"60",2008-05-01 12:00:00,2008,5,1,NA,9.829,16.3919166666667,24.919
"61",2008-05-02 12:00:00,2008,5,2,NA,6.914,15.5810416666667,23.328
"62",2008-05-03 12:00:00,2008,5,3,NA,7.92,16.5382083333333,25.939
"63",2008-05-04 12:00:00,2008,5,4,NA,9.188,16.4371666666667,24.871
"64",2008-05-05 12:00:00,2008,5,5,NA,9.089,18.8455833333333,29.065
"65",2008-05-06 12:00:00,2008,5,6,NA,10.32,18.054875,27.161
"66",2008-05-07 12:00:00,2008,5,7,NA,13.161,18.4159166666667,24.195
"67",2008-05-08 12:00:00,2008,5,8,NA,9.064,17.3756666666667,25.671
"68",2008-05-09 12:00:00,2008,5,9,NA,8.767,16.71175,24.557
"69",2008-05-10 12:00:00,2008,5,10,NA,9.114,17.9475833333333,27.038
"70",2008-05-11 12:00:00,2008,5,11,NA,11.053,18.0153333333333,24.895
"71",2008-05-12 12:00:00,2008,5,12,NA,14.505,19.4708333333333,24.944
"72",2008-05-13 12:00:00,2008,5,13,NA,13.762,21.062875,29.265
"73",2008-05-14 12:00:00,2008,5,14,NA,14.984,24.896125,30.571
"74",2008-05-15 12:00:00,2008,5,15,NA,21.366,27.2908333333333,34.15
"75",2008-05-16 12:00:00,2008,5,16,NA,16.058,24.4830833333333,33.027
"76",2008-05-17 12:00:00,2008,5,17,NA,17.962,26.315125,33.417
"77",2008-05-18 12:00:00,2008,5,18,NA,14.721,23.2420416666667,33.183
"78",2008-05-19 12:00:00,2008,5,19,NA,11.613,20.3973333333333,29.815
"79",2008-05-20 12:00:00,2008,5,20,NA,12.871,20.7387916666667,28.518
"80",2008-05-21 12:00:00,2008,5,21,NA,11.029,19.3446666666667,25.065
"81",2008-05-22 12:00:00,2008,5,22,NA,13.594,18.78375,24.508
"82",2008-05-23 12:00:00,2008,5,23,NA,14.888,18.5437916666667,23.954
"83",2008-05-24 12:00:00,2008,5,24,NA,11.346,13.63225,17.439
"84",2008-05-25 12:00:00,2008,5,25,NA,9.262,16.50975,23.088
"85",2008-05-26 12:00:00,2008,5,26,NA,10.614,16.4537916666667,22.992
"86",2008-05-27 12:00:00,2008,5,27,NA,8.717,16.0445833333333,24.195
"87",2008-05-28 12:00:00,2008,5,28,15.4789583333333,8.369,15.4789583333333,22.872
"88",2008-05-29 12:00:00,2008,5,29,NA,9.854,16.2132083333333,23.617
"89",2008-05-30 12:00:00,2008,5,30,NA,8.045,17.2795416666667,25.598
"90",2008-05-31 12:00:00,2008,5,31,NA,10.296,16.8760833333333,23.328
"91",2008-06-01 12:00:00,2008,6,1,NA,10.712,17.4985833333333,24.146
"92",2008-06-02 12:00:00,2008,6,2,NA,9.903,18.5173333333333,26.329
"93",2008-06-03 12:00:00,2008,6,3,NA,16.201,21.2399166666667,26.109
"94",2008-06-04 12:00:00,2008,6,4,NA,11.904,18.8055833333333,24.195
"95",2008-06-05 12:00:00,2008,6,5,NA,13.112,21.1683333333333,27.85
"96",2008-06-06 12:00:00,2008,6,6,NA,13.882,20.4144166666667,25.793
"97",2008-06-07 12:00:00,2008,6,7,NA,12.147,20.3159166666667,27.899
"98",2008-06-08 12:00:00,2008,6,8,NA,13.69,22.6165833333333,31.204
"99",2008-06-09 12:00:00,2008,6,9,NA,12.34,24.4264583333333,33.079
"100",2008-06-10 12:00:00,2008,6,10,NA,18.842,24.19825,29.439
"101",2008-06-11 12:00:00,2008,6,11,NA,18.343,23.8076666666667,30.091
"102",2008-06-12 12:00:00,2008,6,12,NA,19.151,25.6519166666667,32.924
"103",2008-06-13 12:00:00,2008,6,13,NA,14.505,25.0967916666667,33.809
"104",2008-06-14 12:00:00,2008,6,14,NA,12.461,20.7157083333333,28.27
"105",2008-06-15 12:00:00,2008,6,15,NA,11.2,19.6194583333333,27.924
"106",2008-06-16 12:00:00,2008,6,16,NA,10.59,19.302,27.702
"107",2008-06-17 12:00:00,2008,6,17,NA,11.565,21.6598333333333,30.091
"108",2008-06-18 12:00:00,2008,6,18,NA,11.832,22.6470833333333,30.646
"109",2008-06-19 12:00:00,2008,6,19,NA,14.864,23.4026666666667,31.255
"110",2008-06-20 12:00:00,2008,6,20,NA,15.127,24.6560416666667,32.872
"111",2008-06-21 12:00:00,2008,6,21,NA,17.724,25.7598333333333,36.119
"112",2008-06-22 12:00:00,2008,6,22,NA,16.654,23.93975,31.052
"113",2008-06-23 12:00:00,2008,6,23,NA,11.686,20.8284583333333,30.041
"114",2008-06-24 12:00:00,2008,6,24,NA,12.92,21.4156666666667,31.281
"115",2008-06-25 12:00:00,2008,6,25,NA,13.81,21.0792083333333,29.24
"116",2008-06-26 12:00:00,2008,6,26,NA,13.834,20.8115,28.419
"117",2008-06-27 12:00:00,2008,6,27,NA,15.557,23.4592083333333,31.765
"118",2008-06-28 12:00:00,2008,6,28,NA,15.438,23.8729166666667,32.175
"119",2008-06-29 12:00:00,2008,6,29,NA,12.389,21.8877916666667,32.562
"120",2008-06-30 12:00:00,2008,6,30,NA,12.025,21.70525,31.433
"121",2008-07-01 12:00:00,2008,7,1,NA,12.823,21.2840416666667,31.103
"122",2008-07-02 12:00:00,2008,7,2,NA,13.016,21.8810416666667,30.596
"123",2008-07-03 12:00:00,2008,7,3,NA,13.786,22.2652916666667,30.142
"124",2008-07-04 12:00:00,2008,7,4,NA,14.792,20.893,26.744
"125",2008-07-05 12:00:00,2008,7,5,NA,14.314,22.5790416666667,30.343
"126",2008-07-06 12:00:00,2008,7,6,NA,16.129,24.3242083333333,31.281
"127",2008-07-07 12:00:00,2008,7,7,NA,17.819,25.7537083333333,33.001
"128",2008-07-08 12:00:00,2008,7,8,NA,19.603,27.9059583333333,37.811
"129",2008-07-09 12:00:00,2008,7,9,NA,18.723,27.5627083333333,36.146
"130",2008-07-10 12:00:00,2008,7,10,NA,18.889,25.5677083333333,33.131
"131",2008-07-11 12:00:00,2008,7,11,NA,16.773,24.3597083333333,31.433
"132",2008-07-12 12:00:00,2008,7,12,NA,18.176,25.0485416666667,31.306
"133",2008-07-13 12:00:00,2008,7,13,NA,18.057,26.6270833333333,33.966
"134",2008-07-14 12:00:00,2008,7,14,NA,18.01,25.3235416666667,35.448
"135",2008-07-15 12:00:00,2008,7,15,NA,15.772,23.447125,32.175
"136",2008-07-16 12:00:00,2008,7,16,NA,14.314,22.8429166666667,32.201
"137",2008-07-17 12:00:00,2008,7,17,NA,13.016,21.5589583333333,30.571
"138",2008-07-18 12:00:00,2008,7,18,NA,12.944,21.4718333333333,30.469
"139",2008-07-19 12:00:00,2008,7,19,NA,13.594,21.81525,30.596
"140",2008-07-20 12:00:00,2008,7,20,NA,11.783,19.1894583333333,27.727
"141",2008-07-21 12:00:00,2008,7,21,NA,10.98,18.1619166666667,26.378
"142",2008-07-22 12:00:00,2008,7,22,NA,10.345,19.9447083333333,29.24
"143",2008-07-23 12:00:00,2008,7,23,NA,14.409,22.363875,31.714
"144",2008-07-24 12:00:00,2008,7,24,NA,13.353,22.3240833333333,32.124
"145",2008-07-25 12:00:00,2008,7,25,NA,14.026,22.8660833333333,32.562
"146",2008-07-26 12:00:00,2008,7,26,NA,14.266,24.7920833333333,36.688
"147",2008-07-27 12:00:00,2008,7,27,NA,13.449,22.3515833333333,32.536
"148",2008-07-28 12:00:00,2008,7,28,NA,12.461,21.39725,30.697
"149",2008-07-29 12:00:00,2008,7,29,NA,14.864,22.2715,32.587
"150",2008-07-30 12:00:00,2008,7,30,NA,13.161,21.8004166666667,32.458
"151",2008-07-31 12:00:00,2008,7,31,NA,13.353,22.2961666666667,33.757
"152",2008-08-01 12:00:00,2008,8,1,NA,12.944,22.0139166666667,33.001
"153",2008-08-02 12:00:00,2008,8,2,NA,14.864,22.5392083333333,31.612
"154",2008-08-03 12:00:00,2008,8,3,NA,12.171,20.0165833333333,28.543
"155",2008-08-04 12:00:00,2008,8,4,NA,12.268,20.141375,29.815
"156",2008-08-05 12:00:00,2008,8,5,NA,11.662,20.1236666666667,28.493
"157",2008-08-06 12:00:00,2008,8,6,NA,16.01,23.2405833333333,31.103
"158",2008-08-07 12:00:00,2008,8,7,NA,14.697,22.2380416666667,31.944
"159",2008-08-08 12:00:00,2008,8,8,NA,13.04,20.5013333333333,29.315
"160",2008-08-09 12:00:00,2008,8,9,NA,11.443,19.9516666666667,29.515
"161",2008-08-10 12:00:00,2008,8,10,NA,12.509,21.69575,31.74
"162",2008-08-11 12:00:00,2008,8,11,NA,14.457,24.4067916666667,34.202
"163",2008-08-12 12:00:00,2008,8,12,NA,14.697,24.1244166666667,33.835
"164",2008-08-13 12:00:00,2008,8,13,NA,17.082,26.178375,36.444
"165",2008-08-14 12:00:00,2008,8,14,NA,16.129,26.137,37.673
"166",2008-08-15 12:00:00,2008,8,15,NA,16.582,25.9314166666667,36.579
"167",2008-08-16 12:00:00,2008,8,16,NA,17.582,24.9658333333333,34.36
"168",2008-08-17 12:00:00,2008,8,17,NA,15.533,21.4095416666667,28.245
"169",2008-08-18 12:00:00,2008,8,18,NA,13.93,20.1030416666667,26.916
"170",2008-08-19 12:00:00,2008,8,19,NA,13.882,20.3139583333333,27.235
"171",2008-08-20 12:00:00,2008,8,20,NA,13.642,21.920625,29.941
"172",2008-08-21 12:00:00,2008,8,21,NA,19.08,24.166875,29.59
"173",2008-08-22 12:00:00,2008,8,22,NA,15.533,22.8272083333333,30.849
"174",2008-08-23 12:00:00,2008,8,23,NA,14.745,21.76275,30.495
"175",2008-08-24 12:00:00,2008,8,24,NA,13.978,22.501625,32.33
"176",2008-08-25 12:00:00,2008,8,25,NA,14.122,23.1158333333333,33.053
"177",2008-08-26 12:00:00,2008,8,26,NA,13.93,22.2757916666667,31.663
"178",2008-08-27 12:00:00,2008,8,27,NA,14.337,24.6227083333333,36.661
"179",2008-08-28 12:00:00,2008,8,28,NA,18.557,29.1066666666667,38.17
"180",2008-08-29 12:00:00,2008,8,29,NA,17.034,25.9034583333333,38.365
"181",2008-08-30 12:00:00,2008,8,30,NA,14.912,22.2937916666667,31.153
"182",2008-08-31 12:00:00,2008,8,31,NA,14.649,20.1308333333333,25.331
"183",2008-09-01 12:00:00,2008,9,1,NA,17.058,22.117125,27.899
"184",2008-09-02 12:00:00,2008,9,2,NA,10.81,21.0832083333333,29.54
"185",2008-09-03 12:00:00,2008,9,3,NA,12.243,21.7400416666667,32.536
"186",2008-09-04 12:00:00,2008,9,4,NA,13.257,22.9422083333333,32.587
"187",2008-09-05 12:00:00,2008,9,5,NA,15.27,24.121625,34.097
"188",2008-09-06 12:00:00,2008,9,6,NA,14.792,23.7070416666667,33.704
"189",2008-09-07 12:00:00,2008,9,7,NA,14.026,22.3835833333333,33.574
"190",2008-09-08 12:00:00,2008,9,8,NA,10.932,19.750375,30.621
"191",2008-09-09 12:00:00,2008,9,9,NA,11.516,18.4504583333333,26.671
"192",2008-09-10 12:00:00,2008,9,10,NA,12.098,19.3170416666667,29.115
"193",2008-09-11 12:00:00,2008,9,11,NA,12.534,20.2737916666667,29.966
"194",2008-09-12 12:00:00,2008,9,12,NA,10.051,17.9568333333333,28.196
"195",2008-09-13 12:00:00,2008,9,13,NA,9.731,16.9479166666667,26.134
"196",2008-09-14 12:00:00,2008,9,14,NA,9.977,17.6117083333333,26.134
"197",2008-09-15 12:00:00,2008,9,15,NA,11.443,18.759625,27.382
"198",2008-09-16 12:00:00,2008,9,16,NA,11.686,18.266,26.426
"199",2008-09-17 12:00:00,2008,9,17,NA,10.198,16.2965,23.665
"200",2008-09-18 12:00:00,2008,9,18,NA,7.619,15.0575416666667,23.954
"201",2008-09-19 12:00:00,2008,9,19,NA,8.891,16.7263333333333,23.954
"202",2008-09-20 12:00:00,2008,9,20,NA,11.953,17.9052916666667,24.315
"203",2008-09-21 12:00:00,2008,9,21,NA,10.638,17.3292916666667,25.089
"204",2008-09-22 12:00:00,2008,9,22,NA,11.783,19.1151666666667,27.308
"205",2008-09-23 12:00:00,2008,9,23,NA,8.965,17.846125,27.554
"206",2008-09-24 12:00:00,2008,9,24,NA,8.767,17.86825,28.295
"207",2008-09-25 12:00:00,2008,9,25,NA,10.051,18.162125,27.85
"208",2008-09-26 12:00:00,2008,9,26,NA,11.516,19.45775,29.49
"209",2008-09-27 12:00:00,2008,9,27,NA,12.292,20.71325,31.382
"210",2008-09-28 12:00:00,2008,9,28,NA,13.257,21.6611666666667,32.407
"211",2008-09-29 12:00:00,2008,9,29,NA,12.389,19.325,29.215
"212",2008-09-30 12:00:00,2008,9,30,NA,12.05,19.51625,29.565
"213",2008-10-01 12:00:00,2008,10,1,NA,11.783,19.9549166666667,29.365
"214",2008-10-02 12:00:00,2008,10,2,NA,15.414,20.0388333333333,24.919
"215",2008-10-03 12:00:00,2008,10,3,NA,14.433,17.6525833333333,21.032
"216",2008-10-04 12:00:00,2008,10,4,NA,12.437,17.3702083333333,22.13
"217",2008-10-05 12:00:00,2008,10,5,NA,8.369,15.121125,22.872
"218",2008-10-06 12:00:00,2008,10,6,NA,10.296,16.811375,25.477
"219",2008-10-07 12:00:00,2008,10,7,NA,10.394,18.0112916666667,28.419
"220",2008-10-08 12:00:00,2008,10,8,NA,10.394,18.2610833333333,27.924
"221",2008-10-09 12:00:00,2008,10,9,NA,8.22,16.2943333333333,22.585
"222",2008-10-10 12:00:00,2008,10,10,NA,11.662,14.7134166666667,17.962
"223",2008-10-11 12:00:00,2008,10,11,NA,10.81,14.2816666666667,18.604
"224",2008-10-12 12:00:00,2008,10,12,NA,10.1,14.5710833333333,20.841
"225",2008-10-13 12:00:00,2008,10,13,NA,8.965,17.4132916666667,26.549
"226",2008-10-14 12:00:00,2008,10,14,NA,5.282,13.7362916666667,25.162
"227",2008-10-15 12:00:00,2008,10,15,NA,6.763,15.1329583333333,26.475
"228",2008-10-16 12:00:00,2008,10,16,NA,7.77,16.941625,29.065
"229",2008-10-17 12:00:00,2008,10,17,NA,7.494,15.9380416666667,26.72
"230",2008-10-18 12:00:00,2008,10,18,NA,9.805,16.6611666666667,27.284
"231",2008-10-19 12:00:00,2008,10,19,NA,7.368,14.534375,23.954
"232",2008-10-20 12:00:00,2008,10,20,NA,6.255,13.5905416666667,22.417
"233",2008-10-21 12:00:00,2008,10,21,NA,7.845,17.9270833333333,26.353
"234",2008-10-22 12:00:00,2008,10,22,NA,12.074,20.3397916666667,28.221
"235",2008-10-23 12:00:00,2008,10,23,NA,6.99,15.987125,27.998
"236",2008-10-24 12:00:00,2008,10,24,NA,6.611,15.8699166666667,28.023
"237",2008-10-25 12:00:00,2008,10,25,NA,6.331,15.430625,27.407
"238",2008-10-26 12:00:00,2008,10,26,NA,6.585,14.8932916666667,26.769
"239",2008-10-27 12:00:00,2008,10,27,NA,6.661,14.0282916666667,24.026
"240",2008-10-28 12:00:00,2008,10,28,NA,7.343,14.2435,24.484
"241",2008-10-29 12:00:00,2008,10,29,NA,6.687,13.7554166666667,23.4
"242",2008-10-30 12:00:00,2008,10,30,NA,8.965,12.8093333333333,18.01
"243",2008-10-31 12:00:00,2008,10,31,NA,13.353,15.586875,18.889
"244",2008-11-01 12:00:00,2008,11,1,NA,13.882,14.5357916666667,15.748
"245",2008-11-02 12:00:00,2008,11,2,NA,9.632,14.0765833333333,18.771
"246",2008-11-03 12:00:00,2008,11,3,NA,9.064,11.7860833333333,16.106
"247",2008-11-04 12:00:00,2008,11,4,NA,7.594,11.4260833333333,16.844
"248",2008-11-05 12:00:00,2008,11,5,NA,4.298,10.1141666666667,15.199
"249",2008-11-06 12:00:00,2008,11,6,NA,6.813,12.4302083333333,19.103
"250",2008-11-07 12:00:00,2008,11,7,NA,6.408,12.2060416666667,19.627
"251",2008-11-08 12:00:00,2008,11,8,NA,7.619,12.0185833333333,17.582
"252",2008-11-09 12:00:00,2008,11,9,NA,8.767,12.2347083333333,18.889
"253",2008-11-10 12:00:00,2008,11,10,NA,6.965,11.6243333333333,17.249
"254",2008-11-11 12:00:00,2008,11,11,NA,7.268,10.0734166666667,13.906
